Added By,Model,Method Used,Test Dataset,Source,Notes,Accuracy,Domain,Abrivation
Nima1313,GPT-4,ZS Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",42.16,Abduction,
Nima1313,GPT-4,M-Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",64.71,Abduction,
Nima1313,GPT-4o,ZS no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",66.67,Abduction,
Nima1313,GPT-4o,M-Cot no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",74.51,Abduction,
Nima1313,GPT-4o,ZS Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",57.84,Abduction,
Nima1313,GPT-4o,ZS Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",44.12,Abduction,
Nima1313,GPT-4o,M-Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",57.84,Abduction,
Nima1313,Claude V3 Sonnet,ZS no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",61.11,Abduction,
Nima1313,Claude V3 Sonnet,M-Cot no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",61.11,Abduction,
Nima1313,Claude V3 Sonnet,ZS Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",58.33,Abduction,
Nima1313,Claude V3 Sonnet,ZS Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",50,Abduction,
Nima1313,Claude V3 Sonnet,M-Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",48,Abduction,
Nima1313,GPT-4,ZS no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",61.11,Abduction,
Nima1313,GPT-4,M-Cot no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",47.22,Abduction,
Nima1313,GPT-4,ZS Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",47.22,Abduction,
Nima1313,GPT-4,ZS Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",50,Abduction,
Nima1313,GPT-4,M-Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",55.56,Abduction,
Nima1313,GPT-4o,ZS no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",58.33,Abduction,
Nima1313,GPT-4o,M-Cot no-Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",52.78,Abduction,
Nima1313,GPT-4o,ZS Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",55.56,Abduction,
Nima1313,GPT-4o,ZS Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",55.56,Abduction,
Nima1313,GPT-4o,M-Cot Exp,PHEMEPlus,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"PHEMEPlus – social media rumors + evidence from news

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",52.78,Abduction,
Nima1313,Claude V3 Sonnet,ZS no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",86.38,Deduction,
Nima1313,Claude V3 Sonnet,M-Cot no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",87.23,Deduction,
Nima1313,Claude V3 Sonnet,ZS Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",90.21,Deduction,
Nima1313,Claude V3 Sonnet,ZS Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",88.94,Deduction,
Nima1313,Claude V3 Sonnet,M-Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",91.28,Deduction,
Nima1313,GPT-4,ZS no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",87.87,Deduction,
Nima1313,GPT-4,M-Cot no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",91.7,Deduction,
Nima1313,GPT-4,ZS Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",89.36,Deduction,
Nima1313,GPT-4,ZS Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",90,Deduction,
Nima1313,GPT-4,M-Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",91.28,Deduction,
Nima1313,GPT-4o,ZS no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",89.57,Deduction,
Nima1313,GPT-4o,M-Cot no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",89.57,Deduction,
Nima1313,GPT-4o,ZS Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",90.85,Deduction,
Nima1313,GPT-4o,ZS Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",90.64,Deduction,
Nima1313,GPT-4o,M-Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",91.06,Deduction,
Nima1313,Claude V3 Sonnet,ZS no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",87.19,Deduction,
Nima1313,Claude V3 Sonnet,M-Cot no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",87.19,Deduction,
Nima1313,Claude V3 Sonnet,ZS Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",82.66,Deduction,
Nima1313,Claude V3 Sonnet,ZS Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",77.39,Deduction,
Nima1313,Claude V3 Sonnet,M-Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",82.41,Deduction,
Nima1313,GPT-4,ZS no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",91.21,Deduction,
Nima1313,GPT-4,M-Cot no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",89.95,Deduction,
Nima1313,GPT-4,ZS Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",84.92,Deduction,
Nima1313,GPT-4,ZS Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",85.68,Deduction,
Nima1313,GPT-4,M-Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",88.69,Deduction,
